Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones
Max Aarons,eng ENG,"DF,MF",Valencia,La Liga,25.0,2,104,1,0,0,,,0,0,3,1,0,1,29,0
Rodrigo Abajas,es ESP,DF,Valencia,La Liga,22.0,1,65,1,0,0,,,0,0,3,1,0,1,17,1
James Abankwah,ie IRL,"DF,MF",Udinese,Serie A,21.0,6,88,0,0,0,,,0,0,4,1,0,0,36,1
Keyliane Abdallah,fr FRA,FW,Marseille,Ligue 1,19.0,1,3,0,0,0,,,0,0,1,0,0,0,2,0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,Ligue 1,37.0,15,988,11,0,0,,,0,0,17,2,0,3,438,13
Himad Abdelli,dz ALG,"MF,FW",Angers,Ligue 1,25.0,31,2752,31,6,1,,,3,4,47,4,0,56,1322,25
Mohamed Abdelmoneim,eg EGY,DF,Nice,Ligue 1,26.0,12,855,10,0,0,,,0,0,21,2,0,1,471,15
Ali Abdi,tn TUN,"DF,MF",Nice,Ligue 1,31.0,24,1387,17,4,2,,,0,0,43,2,0,12,494,20
Saud Abdulhamid,sa KSA,DF,Roma,Serie A,25.0,4,205,2,0,1,,,0,0,3,0,0,3,118,2
Abel,es ESP,DF,Osasuna,La Liga,24.0,32,2019,20,2,0,,,0,0,59,3,0,18,749,18
Nabil Aberdin,fr FRA,MF,Getafe,La Liga,22.0,7,263,4,0,0,,,0,0,6,1,0,2,36,0
Oliver Abildgaard,dk DEN,MF,Como,Serie A,28.0,1,7,0,0,0,,,0,0,0,0,0,0,1,0
Matthis Abline,fr FRA,FW,Nantes,Ligue 1,22.0,33,2678,32,8,2,,,1,1,11,3,0,33,333,3
Abner,br BRA,DF,Lyon,Ligue 1,24.0,18,1089,12,1,1,,,0,0,29,1,0,6,568,5
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,Ligue 1,25.0,25,1869,22,7,2,,,1,2,21,4,0,15,217,6
Abdel Abqar,ma MAR,DF,Alavés,La Liga,26.0,29,2463,29,0,1,,,0,0,36,13,0,3,719,39
Tammy Abraham,eng ENG,FW,Milan,Serie A,27.0,28,1183,12,3,4,,,1,2,17,1,0,4,152,2
Federico Accornero,it ITA,MF,Genoa,Serie A,21.0,1,5,0,0,0,,,0,0,0,0,0,0,4,0
Francesco Acerbi,it ITA,DF,Inter,Serie A,37.0,21,1589,19,0,1,,,0,0,23,0,0,3,1110,26
Joshua Acheampong,eng ENG,DF,Chelsea,Premier League,19.0,4,170,2,0,0,,,0,0,2,1,0,1,104,1
Akor Adams,ng NGA,FW,Montpellier,Ligue 1,25.0,15,1075,13,3,1,,,0,0,4,2,0,7,112,1
Che Adams,sct SCO,FW,Torino,Serie A,28.0,34,2472,28,9,3,,,0,1,10,2,0,11,385,2
Tyler Adams,us USA,MF,Bournemouth,Premier League,26.0,26,1785,19,0,3,,,0,0,78,7,0,3,817,32
Junior Adamu,at AUT,FW,Freiburg,Bundesliga,23.0,24,1472,18,2,2,,,0,0,9,5,1,10,190,12
Tosin Adarabioyo,eng ENG,DF,Chelsea,Premier League,27.0,20,1229,13,1,1,,,0,0,14,3,0,4,988,10
Martin Adeline,fr FRA,MF,Reims,Ligue 1,21.0,1,26,0,0,0,,,0,0,1,0,0,0,8,0
Karim Adeyemi,de GER,"FW,MF",Dortmund,Bundesliga,23.0,24,1363,16,7,6,,,0,0,20,3,0,38,283,7
Simon Adingra,ci CIV,"FW,MF",Brighton,Premier League,23.0,27,988,10,2,2,,,0,0,23,0,0,21,264,8
Amine Adli,ma MAR,"MF,FW",Leverkusen,Bundesliga,25.0,19,721,6,2,0,,,0,0,14,3,0,15,261,0
Yacine Adli,fr FRA,MF,Fiorentina,Serie A,24.0,25,1206,15,4,5,,,0,0,32,3,1,12,697,6
Adrián,es ESP,GK,Betis,La Liga,38.0,16,1440,16,0,0,37.0,0.0,0,0,0,3,0,0,387,0
Adryelson,br BRA,DF,Lyon,Ligue 1,27.0,1,1,0,0,0,,,0,0,0,1,0,0,1,1
Vasilije Adžić,me MNE,"MF,FW",Juventus,Serie A,19.0,5,41,0,0,0,,,0,0,2,0,0,0,15,0
Michel Aebischer,ch SUI,MF,Bologna,Serie A,28.0,13,679,8,0,0,,,0,0,17,1,0,3,343,6
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,Bundesliga,27.0,31,1594,16,3,1,,,0,0,17,3,0,47,306,8
Emmanuel Agbadou,ci CIV,DF,Reims,Ligue 1,27.0,14,1260,14,0,0,,,0,0,25,3,0,9,810,19
Asher Agbinone,eng ENG,MF,Crystal Palace,Premier League,19.0,2,6,0,0,0,,,0,0,2,0,0,0,2,0
Jeremy Agbonifo,se SWE,"FW,MF",Lens,Ligue 1,19.0,8,300,1,1,0,,,0,0,7,1,0,9,58,1
Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,24.0,14,1206,14,0,0,24.0,1.0,0,0,0,1,1,0,281,0
Lucien Agoume,fr FRA,MF,Sevilla,La Liga,23.0,32,1844,21,1,1,,,0,0,59,4,1,17,876,35
Felix Agu,de GER,DF,Werder Bremen,Bundesliga,25.0,21,1680,20,3,0,,,0,0,28,1,0,8,622,18
Álvaro Aguado,es ESP,MF,Espanyol,La Liga,29.0,15,431,4,0,1,,,0,0,4,3,0,4,188,4
Lorenzo Aguado,es ESP,DF,Real Madrid,La Liga,22.0,2,5,0,0,0,,,0,0,0,0,0,0,1,0
Nayef Aguerd,ma MAR,DF,Real Sociedad,La Liga,29.0,21,1760,21,0,0,,,0,0,30,5,0,5,1213,13
Ruben Aguilar,fr FRA,"DF,MF",Lens,Ligue 1,32.0,15,1045,12,1,1,,,0,0,34,4,0,9,638,13
Naouirou Ahamada,fr FRA,"MF,FW",Rennes,Ligue 1,23.0,3,58,0,0,0,,,0,0,0,0,0,0,17,2
Honest Ahanor,it ITA,"DF,MF",Genoa,Serie A,17.0,6,270,3,0,0,,,0,0,6,0,0,0,51,1
Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,Bundesliga,23.0,5,43,0,0,0,,,0,0,0,0,0,0,10,1
Jean-Eudes Aholou,ci CIV,MF,Angers,Ligue 1,31.0,26,1959,26,2,0,,,0,0,56,7,0,12,644,33
Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,29.0,1,2,0,0,0,,,0,0,1,0,0,0,6,0
Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,19.0,5,127,1,0,0,,,0,0,3,0,0,0,17,1
Ola Aina,ng NGA,DF,Nott'ham Forest,Premier League,28.0,33,2823,33,2,1,,,0,0,54,4,0,32,935,31
Rayan Aït-Nouri,dz ALG,DF,Wolves,Premier League,23.0,35,2955,35,4,7,,,0,0,85,7,1,61,1355,25
Junior Ajayi,ci CIV,FW,Hellas Verona,Serie A,20.0,2,13,0,0,0,,,0,0,0,0,0,0,4,0
Kristoffer Ajer,no NOR,DF,Brentford,Premier League,27.0,22,1405,17,0,0,,,0,0,25,5,0,7,489,12
Ludovic Ajorque,fr FRA,FW,Brest,Ligue 1,31.0,30,2413,28,13,2,,,0,1,25,5,0,8,446,6
Manuel Akanji,ch SUI,DF,Manchester City,Premier League,29.0,24,1834,21,0,0,,,0,0,17,3,0,2,1519,7
Ümit Akdag,ro ROU,DF,Toulouse,Ligue 1,21.0,8,495,6,0,0,,,0,0,8,2,0,1,269,11
Nathan Aké,nl NED,DF,Manchester City,Premier League,30.0,10,678,8,0,0,,,0,0,9,0,0,1,509,3
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,La Liga,21.0,11,584,7,1,0,,,0,0,12,1,0,19,136,3
Sergio Akieme,es ESP,DF,Reims,Ligue 1,27.0,29,2433,28,1,3,,,0,0,32,5,0,13,920,17
Maghnes Akliouche,fr FRA,"FW,MF",Monaco,Ligue 1,23.0,31,2398,27,5,10,,,1,1,51,2,0,50,985,15
Paul Akouokou,ci CIV,MF,Lyon,Ligue 1,27.0,2,19,0,0,0,,,0,0,1,1,0,0,10,1
Clément Akpa,ci CIV,DF,Auxerre,Ligue 1,23.0,30,2416,28,0,1,,,0,0,54,7,0,8,979,40
Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,Serie A,32.0,12,786,10,0,0,,,0,0,26,4,0,12,209,11
David Akpan Ankeye,ng NGA,"FW,MF",Genoa,Serie A,23.0,4,45,0,0,0,,,0,0,0,0,0,1,6,0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,30.0,31,2130,22,0,0,,,0,0,52,3,0,8,1159,26
Chuba Akpom,eng ENG,FW,Lille,Ligue 1,29.0,13,621,6,2,1,,,0,1,8,0,0,4,65,0
David Alaba,at AUT,DF,Real Madrid,La Liga,32.0,7,317,4,0,0,,,0,0,1,1,0,0,206,6
Andreas Albers,dk DEN,FW,St. Pauli,Bundesliga,35.0,14,62,0,1,0,,,0,0,1,0,0,2,15,0
Raúl Albiol,es ESP,DF,Villarreal,La Liga,39.0,15,1188,14,0,0,,,0,0,10,5,0,0,727,6
Carlos Alcaraz,ar ARG,"FW,MF",Everton,Premier League,22.0,13,663,6,1,3,,,0,0,11,4,0,9,200,4
Omar Alderete,py PAR,DF,Getafe,La Liga,28.0,32,2791,32,1,0,,,0,0,41,8,0,18,705,37
Carles Aleñá,es ESP,"MF,FW",Alavés,La Liga,27.0,11,847,10,0,2,,,0,0,17,1,0,9,290,2
Ben Alexander Voll,de GER,GK,St. Pauli,Bundesliga,24.0,2,91,1,0,0,3.0,0.0,0,0,0,1,0,0,28,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,26.0,32,2320,28,3,6,,,0,0,71,5,0,16,1411,30
Alfon,es ESP,"FW,MF",Celta Vigo,La Liga,26.0,23,1211,12,4,2,,,0,0,6,1,1,22,244,4
